"string","maintext-0x112_1",,,"かるーく　ぶっちぎって　あげなさい\n
あんなクルマ　バックでも　かてるぜ！","Go ahead, stomp him flat! You could beat that piece of junk going in reverse!",,"=IF(F17=I17, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x112"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x141
//=====",,,,,,
"string","maintext-0x141_1",,,"な　なんだよ　あのクルマ！\n
めちゃくちゃ　はえー！","Th-the hell?\n
That thing's like a rocket!",,"=IF(F19=I19, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x141"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x160
//=====",,,,,,
"string","maintext-0x160_1",,,"\pの　うんてんが\n
ヘタなんじゃ　ないのか？","Maybe your driving's just that crappy?",,"=IF(F21=I21, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x160"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x17E
//=====",,,,,,
"string","maintext-0x17E_1",,,"じょうだんじゃねーよ！\n
あのクルマが　はやすぎんだよ！","Don't be a dick!\n
That car's ridiculously fast!",,"=IF(F23=I23, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x17E"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x1A4
//=====",,,,,,
"string","maintext-0x1A4_1",,,"あっ　さっきの　クルマが　とまってる！","Hey, he stopped over there!",,"=IF(F25=I25, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x1A4"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x1BD
//=====",,,,,,
"string","maintext-0x1BD_1",,,"ねえ\n
そのクルマ　なんで　そんなに　はやいの？","Hey, why's that thing so fast?",,"=IF(F27=I27, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x1BD"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x1DA
//=====",,,,,,
"string","maintext-0x1DA_1",,,"こいつはなあ　ゼロヨンしよう　だからよ","'Cause she's for running zero yon.",,"=IF(F29=I29, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x1DA"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x1F4
//=====",,,,,,
"string","maintext-0x1F4_1",,,"ゼロヨンしよう？","Zero yon?",,"=IF(F31=I31, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x1F4"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x202
//=====",,,,,,
"string","maintext-0x202_1",,,"ゼロヨンってのはなあ　スタートから\n
400mまでの　タイムを　きそうレースだ","Zero yon—drag racing, 400 meters start to finish.",,"=IF(F33=I33, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x202"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x238
//=====",,,,,,
"string","maintext-0x238_1",,,"ただ　400m　はしるだけ？","What, only 400 meters?",,"=IF(F35=I35, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x238"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x24D
//=====",,,,,,
"string","maintext-0x24D_1",,,"ばかやろう！\n
だからこそ　おくが　ふけえんじゃねえか！","And that's exactly why it's so deep, dumbass!",,"=IF(F37=I37, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x24D"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x24D_3",,,"1かいのミスでまけちまうんだぞ\n
そんな　きびしいレースが　ほかにあるか？","One slip-up and you're toast. You know any other race that harsh?",,"=IF(F38=I38, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x24D_5",,,"オレたちは　このさきで\n
ゼロヨンやってっからよ","We're gonna be doing zero yon just down the road.",,"=IF(F39=I39, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x24D_7",,,"よかったら　みにこいや\n
じゃあな！","Come and watch if you want.\n
See ya!",,"=IF(F40=I40, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2D1
//=====",,,,,,
"string","maintext-0x2D1_1",,,"おい　今村！\n
オレたちも　いってみようぜ！","C'mon, Imamura!\n
Let's check it out!",,"=IF(F42=I42, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2D1"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x2EC
//=====",,,,,,
"string","maintext-0x2EC_1",,,"すげえ・・・　さっきの　クルマより\n
はやいのが　ウヨウヨいるぜ","Man...They're packed out with cars even faster than that guy's.",,"=IF(F44=I44, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x2EC"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x315
//=====",,,,,,
"string","maintext-0x315_1",,,"よし　きめた！　オレゼロヨンやる！！\n","Okay, I've made up my mind!\n
I'm going to be a zero yon racer!",,"=IF(F46=I46, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x315"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x32E
//=====",,,,,,
"string","maintext-0x32E_1",,,"おい　マジかよ","Wait, seriously?",,"=IF(F48=I48, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x32E"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x33B
//=====",,,,,,
"string","maintext-0x33B_1",,,"ああ　ゼロヨンだ！","You bet!",,"=IF(F50=I50, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x33B"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x34B
//=====",,,,,,
"string","maintext-0x34B_1",,,"ゼロヨンの　チャンピオンに　なってやる！！","I'm gonna be the zero yon champion!",,"=IF(F52=I52, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x34B"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x369
//=====",,,,,,
"string","maintext-0x369_1",,,"[speed]<$FF>","[speed]<$FF>",,"=IF(F54=I54, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x369"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"chapter","textscript-section-0x36D","Magazine and some menus",,"//==================================
// Magazine and some menus
//==================================",,,,,,
,,,,"//=====
// String start: maintext-0x36D
//=====",,,,,,
"string","maintext-0x36D_0",,,"　　　GROUP　A\n
　　　GROUP　B\n
　　　GROUP　C\n
　　　GROUP　D\n
　　　GROUP　E\n
　　　GROUP　F\n","　　　Group A\n
　　　Group B\n
　　　Group C\n
　　　Group D\n
　　　Group E\n
　　　Group F\n",,"=IF(F57=I57, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x36D"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x378
//=====",,,,,,
"string","maintext-0x378_0",,,"　　　GROUP　B\n
　　　GROUP　C\n
　　　GROUP　D\n
　　　GROUP　E\n
　　　GROUP　F\n","　　　Group B\n
　　　Group C\n
　　　Group D\n
　　　Group E\n
　　　Group F\n",,"=IF(F59=I59, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x378"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x383
//=====",,,,,,
"string","maintext-0x383_0",,,"　　　GROUP　C\n
　　　GROUP　D\n
　　　GROUP　E\n
　　　GROUP　F\n","　　　Group C\n
　　　Group D\n
　　　Group E\n
　　　Group F\n",,"=IF(F61=I61, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x383"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x38E
//=====",,,,,,
"string","maintext-0x38E_0",,,"　　　GROUP　D\n
　　　GROUP　E\n
　　　GROUP　F\n","　　　Group D\n
　　　Group E\n
　　　Group F\n",,"=IF(F63=I63, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x38E"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x399
//=====",,,,,,
"string","maintext-0x399_0",,,"　　　GROUP　E\n
　　　GROUP　F\n","　　　Group E\n
　　　Group F\n",,"=IF(F65=I65, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x399"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x3A4
//=====",,,,,,
"string","maintext-0x3A4_0",,,"　　　GROUP　F\n","　　　Group F\n",,"=IF(F67=I67, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x3A4"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x3B0
//=====",,,,,,
"string","maintext-0x3B0_0",,,"[call19]<$06><$26>","[call19]<$06><$26>",,"=IF(F69=I69, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x3B0"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x3B4
//=====",,,,,,
"string","maintext-0x3B4_0",,,"　　　[num3]<$EE><$24>","　　　　　　[monospace][num3]<$EE><$24>[std]",,"=IF(F71=I71, ""UNTRANSLATED"", """")",,"item quantity (for nitro jet, the only stackable item) — Supper (2025-04-22 14:22:07)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x3B4"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x3BC
//=====",,,,,,
"string","maintext-0x3BC_0",,,"\n","\n",,"=IF(F73=I73, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x3BC"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x3BF
//=====",,,,,,
"string","maintext-0x3BF_1",,,"　　　　どうぐ　　　　　\n","#SETPADANDCENTER(0, 112)
Items\n
#DISABLEPADANDCENTER()",,"=IF(F75=I75, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x3BF"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x3D0
//=====",,,,,,
"string","maintext-0x3D0_1",,,"　[call19]<$06><$26>\n
　　¥[num5ff]<$C8><$20>,000-\n
　　(そうりょうこみ)","　　[call19]<$06><$26>\n
　　　¥[num5ff]<$C8><$20>,000\n
　　　(shipping incl.)",,"=IF(F77=I77, ""UNTRANSLATED"", """")",,"first call displays the item name — Supper (2025-04-10 04:14:49)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x3D0"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x3EE
//=====",,,,,,
"string","maintext-0x3EE_1",,,"[speed]<$FF>
[setpos]<$02><$04>
もうしこむ
[setpos]<$04><$04>
やめる","[speed]<$FF>
[setpos]<$02><$04>
Apply
[setpos]<$04><$04>
Quit",,"=IF(F79=I79, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x3EE"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x400
//=====",,,,,,
"string","maintext-0x400_1",,,"　つぎの　レースは\n
\n
　[num3ff]<$EB><$24>月　[num3ff]<$EC><$24>日　です\n
　おもうしこみは\n
　おはやめに・・・","[4px][1px][1px]The next race will be on\n
　[4px][1px][1px][monospace][num3ff]<$EB><$24>/[num3ff]<$EC><$24>[std]\n
[4px][1px][1px]Please apply ASAP.",,"=IF(F81=I81, ""UNTRANSLATED"", """")",,"spacing here is to try to create aesthetically pleasing margins, since this screen appears frequently — Supper (2025-04-21 18:14:46)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x400"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x431
//=====",,,,,,
"string","maintext-0x431_1",,,"つぎのレースに\n
ぜんりょくを　つくそう！","I'm going to give the next race everything I've got!",,"=IF(F83=I83, ""UNTRANSLATED"", """")",,"viewing the race schedule after already entering a race — Supper (2025-04-18 12:31:57)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x431"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x44C
//=====",,,,,,
"string","maintext-0x44C_1",,,"ホリデーオートでも\n
ながめるか・・・","Maybe I should take a look at Holiday Auto...",,"=IF(F85=I85, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x36D"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x44C"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x466
//=====",,,,,,
